Site,Taxa,Depth,Taxa
Australia,Leptastrea transversa,5,5
Australia,Leptastrea transversa,5,5
Australia,Leptastrea inaequalis,5,5
Australia,Leptastrea inaequalis,5,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea purpurea,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea purpurea,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea pruinosa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea transversa,6,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
Australia,Leptastrea pruinosa,7,5
